,name,totalError,hf,refHf,ie,refIe,dipole,refDipole,geomError,hfError,ieError,dipoleError
97,97-H14C6,532.7240980591964,-34.65549333092722,-41.7,11.983409690530499,,0.013215090822891329,,31.08372641266119,7.044506669072781,,
98,98-H14C6,597.4558909542586,-33.06594949149962,-41.1,11.944560798320765,,0.012945815291074554,,32.6468964338457,8.034050508500378,,
99,99-H14C6,508.6085222775132,-39.221573948007375,-39.9,12.034449073574539,,1.9622352870803007e-06,,31.879405903168614,0.6784260519926235,,
100,100-H7C7,960.7226369184099,217.98781754310318,212.0,14.689268075421289,,2.4082278369142394,,43.008573052100104,5.987817543103176,,
101,101-H7C7,2471.4437875688654,207.62069997067317,209.0,15.43489884119043,,1.1023914653852805e-07,,70.27860725708733,-1.3793000293268278,,
102,102-H8C7,90.18474943427958,33.75824979762759,43.0,8.71851321770614,8.5,0.07027377460351039,,,-9.241750202372408,0.21851321770614085,
103,103-H8C7,1056.8830870630059,62.80601431638457,59.7,9.463091957426782,,0.007867998693017407,,45.76539658146578,3.1060143163845666,,
104,104-H8C7,480.7204984768062,13.51596274837961,12.0,9.277874282954498,8.82,0.05038264730741893,0.36,28.95210899011943,1.5159627483796108,0.4578742829544975,-0.30961735269258106
105,105-H12C7,77.95582372073747,-18.72925952278771,-9.9,9.439892079425476,,0.02131568569382544,,,-8.82925952278771,,
106,106-H12C7,63.53872526445538,-13.97111819410899,-6.0,9.580449403761893,,0.052249739388299216,,,-7.971118194108991,,
107,107-H12C7,5.183772982383363,-17.123209938886905,-19.4,9.617340038248363,,0.06748473679748061,,,2.2767900611130933,,
108,108-H12C7,417.2338654341463,-10.551424272113456,-12.4,11.599770888857165,,0.012073387605021572,,28.768615997729714,1.8485757278865442,,
109,109-H14C7,9.029042865388682,-30.095163421184328,-33.1,11.916191214280772,,0.03203689737829432,,,3.0048365788156737,,
110,110-H14C7,2.027836013996418,-32.42402107217429,-31.0,11.814194973104048,,0.020770024078068633,,,-1.4240210721742912,,
111,111-H14C7,11.850797621463409,-35.34249874676279,-31.9,11.885700934799432,,0.00542163519234187,,,-3.4424987467627943,,
112,112-H14C7,3.789468326752628,-34.64665567750248,-32.7,11.824181803095353,,0.014302518823880176,,,-1.946655677502477,,
113,113-H14C7,1.0547030903143793,-13.873012614335318,-14.9,9.944803356157138,,0.03674419102697173,,,1.0269873856646825,,
114,114-H14C7,39.749850107268415,-36.70474821918119,-30.4,11.878820427428188,,0.01404461105788115,,,-6.304748219181192,,
115,115-H14C7,0.4943101398698381,-36.2969280692064,-37.0,11.623720883415526,,0.00763697116483523,,,0.7030719307935982,,
116,116-H16C7,703.7728206192043,-22.171283095121165,-48.7,11.761401133648453,,0.004900859983297457,,,26.528716904878838,,
117,117-H16C7,355.5025270237925,-30.445225352081437,-49.3,11.866690842600235,,0.016893258966786565,,,18.85477464791856,,
118,118-H16C7,241.8431356322729,-32.04869344292021,-47.6,11.806937936249888,,0.012309898321559227,,,15.55130655707979,,
119,119-H16C7,740.2832440191269,-34.5797243356204,-48.3,11.866395308568812,,0.019086428620304033,,33.22761742022921,13.7202756643796,,
120,120-H16C7,52.42766925770771,-39.35930464266672,-46.6,11.909618294755116,,0.011320426045001256,,,7.24069535733328,,
121,121-H16C7,450.1405292081993,-26.98348451775836,-48.2,11.795158646859566,,0.020835812746611334,,,21.216515482241643,,
122,122-H16C7,687.4089279540966,-35.9672664530681,-45.3,11.863910186726065,,0.0014604345519130288,,34.64993542551179,9.332733546931898,,
123,123-H16C7,70.7595849718465,-37.58812833123053,-46.0,11.856854756872401,,0.015445394253733053,,,8.411871668769471,,
124,124-H16C7,577.6970024134462,-43.94574558902562,-44.9,11.979148520336478,,0.003245538722555319,,33.964287153790885,0.9542544109743787,,
125,125-H8C8,2531.8923133858434,98.8856873497491,148.7,10.948953073392687,,1.0912524107216581e-07,,10.042566262554432,-49.81431265025088,,
126,126-H8C8,734.5381390733866,56.115153065631404,70.7,8.655050492506419,,6.7418197706382596e-06,,32.30542923331697,-14.5848469343686,,
127,127-H8C8,309.2644307228129,37.55061159216064,35.3,9.298661162403837,,0.04929629845173741,,24.665732431210916,2.250611592160645,,
128,128-H10C8,517.7233946548712,8.688086712136858,7.2,9.282044773515198,8.8,0.04534768473412772,,31.377452931195712,1.488086712136858,0.4820447735151969,
129,129-H10C8,643.6982467992503,5.859690690100004,4.1,9.235551368783586,,0.05188870701592233,,35.79390270631091,1.7596906901000047,,
130,130-H10C8,13.502301138483157,8.274547746115589,4.6,9.229726630839966,,0.0485635792899528,,,3.6745477461155893,,
131,131-H10C8,925.7282939522594,5.682902822285027,4.3,9.177645774886797,,0.02043465384942174,,42.98408714248507,1.3829028222850273,,
132,132-H12C8,5.838290387511238,11.283744552512868,13.7,9.587481837525639,,5.99810214871377e-06,,,-2.4162554474871314,,
133,133-H12C8,12.514229764263968,13.062454273897798,16.6,9.750985543294734,,0.032061983837658466,,,-3.537545726102204,,
134,134-H14C8,5.088803801538399,17.04416228386473,19.3,10.685075974460887,,0.08101589018191158,,,-2.2558377161352716,,
135,135-H14C8,3.9171257397439727,-2.6208270061098817,-4.6,9.374768991418408,,0.008629275605496861,,,1.979172993890118,,
136,136-H14C8,98.36113947631776,5.282281538765191,15.2,10.443244132717181,,0.06878402750014227,,,-9.91771846123481,,
137,137-H14C8,3.557133626932768,-2.3860364861085714,-0.5,9.664299928015918,,0.00019848511758017298,,,-1.8860364861085714,,
138,138-H14C8,8.76339920358163,-2.260303903922979,0.7,9.650420210319393,,0.08094577195733474,,,-2.960303903922979,,
139,139-H14C8,1.2394367944217595,-2.0132999570743544,-0.9,9.645135563211381,,0.01870578864712576,,,-1.1132999570743545,,
140,140-H14C8,103.04981004621013,4.748654766672048,14.9,10.417944633756566,,0.06316684460885026,,,-10.151345233327952,,
141,141-H14C8,95.19426473394478,4.643245174037386,14.4,10.416489180258733,,0.00142417274913568,,,-9.756754825962615,,
142,142-H14C8,1111.4265993951976,-26.462964324855257,-24.1,11.406182868309054,9.45,1.613048154705991e-05,,38.030983620413366,-2.3629643248552554,1.956182868309055,
143,143-H16C8,0.2541336397077297,-19.295883307449824,-19.8,9.966591033417592,,0.04329569609726275,,,0.504116692550177,,
144,144-H16C8,2.4861066716577587,-39.52326074709299,-41.1,11.584657825591917,,0.01220912683861862,,,1.5767392529070108,,
145,145-H18C8,2508.038785229054,-12.808243359273781,-54.0,11.703287378865976,,6.608290811923628e-06,,40.280962502905545,41.19175664072622,,
146,146-H18C8,786.3488107520551,-24.558088318517672,-52.6,11.703174288124622,,0.01066667831638617,,,28.04191168148233,,
147,147-H18C8,592.4258345924592,-29.260200604925704,-53.6,11.769152028397727,,0.02395321696593248,,,24.339799395074298,,
148,148-H18C8,345.2226168585188,-35.11983270100835,-53.7,11.793899853960948,,0.01521333842678005,,,18.580167298991654,,
149,149-H18C8,736.6833918112227,-24.55808791165916,-51.7,11.703164480056287,,0.010671836863732548,,,27.141912088340842,,
